PAGETITLE,LATITUDE,LONGTITUDE
"Chinatown Heritage Centre, Singapore",1.28351,103.84435
"Thian Hock Keng Temple, Singapore",1.28094,103.84763
Eurasian Heritage Centre: Singapore Attraction,1.31007,103.89942
Shophouses,1.2772186,103.8373356
Pinnacle@Duxton,1.27549,103.84142
Hajjah Fatimah Mosque,1.30291,103.86285
Haw Par Villa: Singapore Theme Park,1.28551,103.78314
NUS Baba House - Singapore Peranakan Architecture,1.27731,103.83731
Hong San See Temple Singapore,1.29316,103.841222
Capitol Building Singapore,1.29354,103.85157
Esplanade Theatre,1.28986,103.85528
Gardens by the Bay,1.281568,103.863613
The Interlace,1.28199,103.80305
PARKROYAL on Pickering,1.285563,103.846522
Lasalle College of the Arts,1.3029,103.8516
Old Supreme Court Singapore,1.2897,103.85128
SIT Flats Singapore,1.28351,103.8336
Lau Pa Sat Singapore,1.28072,103.85044
"Malay Heritage Centre, Singapore",1.30309,103.85986
Peranakan Museum Singapore: History & Culture,1.29421,103.8492
Raffles Singapore,1.29579,103.85404
Gillman Barracks .com/content/dam/desktop/global/see-do-singapore/arts/543-GillmanBarracks-Carousel01-rect.jpg,1.2784,103.80459
National Museum of Singapore,1.29689,103.84883
The Japanese Cemetery Park,1.36431,103.87584
"Dalhousie Obelisk, a Singapore Landmark",1.28704,103.85238
Raffles Statue re.com/en/see-do-singapore/history/memorials/sir-raffles-statue-landing-site.html,1.287766,103.850845
Singapore Philatelic Museum,1.29294,103.8487
Lim Bo Seng Memorial,1.288483,103.853027
Kranji War Memorial Landmark in Singapore,1.41903,103.75749
Indian National Army (INA) Monument in Singapore,1.289954,103.854217
Reflections at Bukit Chandu: Singapore War Memorial,1.27954,103.79433
The Cenotaph - a Singapore War Memorial Landmark,1.290348,103.8538376
The Civilian War Memorial park in Singapore,1.293123,103.854618
Sri Veeramakaliamman Temple: Hindu Temple in Singapore,1.30779,103.85258
Maghain Aboth Synagogue,1.29821,103.85081
Sultan Mosque (Masjid Sultan) Singapore,1.302379,103.859171
Sri Mariamman Temple: Hindu Temple in Singapore,1.28243,103.84538
Armenian Church in Singapore,1.29293,103.84966
CHIJMES Singapore,1.29526,103.85168
St Andrewrew's Cathedral,1.29249,103.85231
ArtScience Museum Singapore,1.28624,103.85929
Old Ford Factory Singapore Museum,1.35232,103.76883
Singapore Coins and Notes Museum & Museum Singapore,1.28343,103.84452
Singapore City Gallery,1.27987,103.84513
Changi Museum Singapore,1.36218,103.97403
MINT Museum of Toys Singapore & Toy Museum,1.29631,103.85439
"Chinese Heritage Centre, Singapore",1.34379,103.68398
Kampong Glam & Malay Culture in Singapore,1.30238,103.8595
Contemporary Arts Center,1.275,103.8045
"The Substation, Singapore Contemporary Art Centre",1.2944,103.84934
"Red Dot Design Museum, Singapore",1.27828,103.84572
Singapore Art Museum,1.297424,103.851068
Esplanade Theatres on the Bay,1.2898,103.85528
"National Design Centre, Singapore",1.29882,103.85351
Victoria Theatre Singapore,1.28837,103.851641
"NUS University Museum, Singapore",1.3017749,103.7726864
Sun Yat Sen Memorial Hall,1.32795,103.84692
Asian Civilisations Museum & Singapore Museum,1.287384,103.851723
Singapore Botanic Gardens,1.31384,103.815914
Singapore Zoo: Attractions & Things to Do,1.404348,103.793023
River Safari Singapore,1.403732,103.789423
Cable Car Singapore & Mount Faber,1.2713746,103.8192057
"Night Safari, Singapore",1.402187,103.788061
Pulau Ubin & Singapore Islands,1.4137409,103.9592605
Little India Singapore: History & Culture,1.30723,103.84982
"Orchard Road, Singapore: Asia's Most Famous Shopping Street",1.30429,103.83249
MacRitchie Singapore & Singapore Nature Reserve,1.344843,103.822346
Gardens by the Bay,1.281568,103.863613
"Civic District, Singapore",1.29324,103.85222
"HarbourFront, Singapore",1.26532,103.82057
"Bras Basah.Bugis, Singapore Cultural District",1.30069,103.85624
SAM at 8Q & Singapore Art Museum,1.29731,103.85168
Jamae Mosque (Masjid Chulia) Singapore,1.28311,103.84554
Institute of Contemporary Arts Singapore,1.3029,103.8516
Singapore Flyer,1.289299,103.863137
Marina Bay Sands®,1.283456,103.86081
Marina Barrage,1.28063,103.87159
Henderson Waves Bridge,1.2762425,103.8152539
Labrador Nature Reserve,1.265833,103.801944
Marina Bay Singapore: Attractions & Things to do,1.2802848,103.856454
"Marina Bay Sands, Singapore",1.2838785,103.85899
Chek Jawa,1.407866,103.96371
"Merlion Park, Singapore: Attractions & Things to Do",1.286862,103.854552
Marina Bay Sands® SkyPark,1.283456,103.86081
"Resorts World Sentosa, Singapore",1.25675,103.82033
Singapore Garden & Singapore Park,1.280569,103.817589
Sungei Buloh,1.44672,103.730149
S.E.A. Aquarium,1.2573549,103.8194932
Singapore River: History & Culture Tours,1.28848,103.84676
Joo Chiat/Katong: Singapore Peranakan Neighbourhood,1.30589,103.90448
"Sentosa Island, Singapore: Leisure & Attractions",1.24883,103.82809
Chinatown Singapore: History & Culture,1.2817,103.843771
Buddha Tooth Relic Temple & Museum in Singapore,1.28162,103.84438
National Gallery Singapore,1.290141,103.851356
Universal Studios Singaporeywood movie theme park offers a dizzying selection of entertainment offerings.,1.254042,103.823808
Singapore Science Centre,1.33295,103.735872
Fuk Tak Chi Museum & Places of Interest,1.28292,103.84887
Katong Antique House Singapore: Peranakan Heritage,1.30726,103.90714
Chinese Garden Singapore,1.338611,103.73
East Coast Park Singapore,1.300784,103.912187
Fort Canning Park,1.295382,103.846509
"Kusu Island, Singapore",1.2230965,103.8605232
"Jurong Bird Park, Singapore: Attractions & Things to Do",1.318706,103.706442
HortPark,1.279069,103.799724
Adventure Cove Waterpark,1.2573388,103.8195254
Lasalle College of the Arts,1.3029,103.8516
